FID,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,TC_ID,Shape_Leng,OBJECTID_1,TC_ID_1,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_2,TC_ID_12,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,Shape__Area,Shape__Length
336,8161,Wentworth Grounds,Private, ,1,Fenway/Kenmore,3.28579794, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,143131.902832,2893.54663156, ,INFO_Reallocation From Dept,8161,2893.54663164,328,8161,0,24398,67319,143178,26777,94096,17.0403274246,47.0176982497,65.7195937923,18.7018955426,328,8161,143178,24398,67319,0,0,24477,207,26777,91717,51461,17.0403274246,47.0176982497,0,0,17.0955034991,0.144575283912,18.7018955426,64.0580256743,35.9419743257,143131.903808594,2893.54663162022
337,8162,Mason Schoolyard,City of Boston, ,3,Roxbury,0.38047679, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, , ,0,0,16573.8637695,774.322147846, ,INFO_Reallocation From Dept,8162,774.322147741,329,8162,0,6824,513,16570,8207,8720,41.1828605914,3.09595654798,52.6252263126,49.5292697646,329,8162,16570,6824,513,0,0,1003,23,8207,7337,9233,41.1828605914,3.09595654798,0,0,6.05310802655,0.138805069403,49.5292697646,44.2788171394,55.7211828606,16573.8640136719,774.322147742135
338,8163,Boys Club Park,Private, ,3,Roxbury,0.81512514, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, , ,0,0,35507.4821777,738.135661891, ,INFO_Reallocation From Dept,8163,738.13566191,330,8163,0,2742,19728,35506,13036,32764,7.72263842731,55.562440151,92.2773615727,36.7149214217,330,8163,35506,2742,19728,6540,0,0,0,6496,29010,6496,7.72263842731,55.562440151,18.4194220695,0,0,0,18.2954993522,81.7045006478,18.2954993522,35507.4814453125,738.13566188724
339,8164,UMass Boston Athletic Fields,Commonwealth of Massachusetts, ,3,Dorchester,18.4677814, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,429393.071777,4541.06620792, ,INFO_Reallocation From Dept,8164,4541.06620787,331,8164,0,2735,176755,429380,192501,369256,0.636964926173,41.1651683823,85.9974847454,44.8323163631,331,8164,429380,2735,176755,101689,0,50913,6476,90812,281179,148201,0.636964926173,41.1651683823,23.6827518748,0,11.8573291723,1.50822115609,21.1495644883,65.4848851833,34.5151148167,429393.071777344,4541.06620786369
340,8165,Claymont Terrace,Private, ,3,Dorchester,0.60573728, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,26386.385498,712.904108774, ,INFO_Reallocation From Dept,8165,712.904108802,332,8165,0,1500,4497,26388,18189,22686,5.68440200091,17.0418371987,85.9708958618,68.929058663,332,8165,26388,1500,4497,3589,0,16,2186,14600,9586,16802,5.68440200091,17.0418371987,13.6008791875,0,0.060633621343,8.28406851599,55.3281794755,36.3271183871,63.6728816129,26386.3850097656,712.904108831878
341,8166,Lucy Stone Schoolyard,City of Boston, ,3,Dorchester,0.78345732, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, , ,0,0,34128.0075684,1512.69107857, ,INFO_Reallocation From Dept,8166,1512.69107869,333,8166,0,5057,6971,34125,21372,28343,14.819047619,20.4278388278,83.0564102564,62.6285714286,333,8166,34125,5057,6971,0,0,724,1,21372,12028,22097,14.819047619,20.4278388278,0,0,2.12161172161,0.0029304029304,62.6285714286,35.2468864469,64.7531135531,34128.0075683594,1512.69107876823
342,8167,Dartmouth Street Mall,City of Boston, ,1,Back Bay/Beacon Hill,0.99856538,Western Sidewalk Dartmouth Street from Boylston to Beacon Sts,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,BPWD,N,X, ,BPWD,0,0,43849.4284668,2564.19132897, ,INFO_Reallocation From Dept,8167,2564.19132903,334,8167,0,25508,0,43849,12689,12689,58.17236425,0,28.9379461333,28.9379461333,334,8167,43849,25508,0,0,0,1734,3918,12689,25508,18341,58.17236425,0,0,0,3.95448014778,8.93520946886,28.9379461333,58.17236425,41.82763575,43849.4296875,2564.19132906624
343,8168,Ramler Park,City of Boston,A97,3,Fenway/Kenmore,0.51,124 Peterborough Str.,Institutional District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Dorothy and David Ramler Park, ,0,0,22040.098877,604.725551954,253,PARK_Maintenance_Region 3,8168,604.725552031,335,8168,0,13680,4671,22037,3678,8349,62.0774152562,21.1961700776,37.8862821618,16.6901120842,335,8168,22037,13680,4671,0,0,8,0,3678,18351,3686,62.0774152562,21.1961700776,0,0,0.0363025820211,0,16.6901120842,83.2735853338,16.7264146662,22040.0979003906,604.725552006332
344,8169,Belle Isle Coastal Preserve,City of Boston,WPA/Ch91/ACEC,6,East Boston,1.57, ,Open Space District,Urban Wilds & Natural Areas,NULL,DND,N,X, , ,0,0,68192.2504883,1317.67262323, ,INFO_Reallocation From Dept,8169,1317.67262326,336,8169,3990,5036,56935,63571,1600,58535,7.92185115855,89.5612779412,92.0781488415,2.51687090025,336,8169,64199,5036,56935,0,628,0,0,1600,62599,1600,7.8443589464,88.6851820122,0,0.978208383308,0,0,2.49225065811,97.5077493419,2.49225065811,68192.25,1317.6726232392
345,8170,Fernald Rock,City of Boston,A97,6,Dorchester,0.06422499, ,Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, , ,0,0,2763.76904297,217.012686914, ,PARK_Maintenance_Ground Maintenance,8170,217.012686877,337,8170,0,392,0,2759,1965,1965,14.2080463936,0,71.2214570497,71.2214570497,337,8170,2759,392,0,0,0,0,402,1965,392,2367,14.2080463936,0,0,0,0,14.5704965567,71.2214570497,14.2080463936,85.7919536064,2763.76904296875,217.012686878663
