municipal,acs_year,med_c_r
Harwich,2014-18,1269.0
Hatfield,2014-18,1117.0
Haverhill,2014-18,1176.0
Hawley,2014-18,1111.0
Heath,2014-18,0.0
Hingham,2014-18,2163.0
Hinsdale,2014-18,745.0
Holbrook,2014-18,981.0
Holden,2014-18,1235.0
Holland,2014-18,1265.0
Holliston,2014-18,1083.0
Holyoke,2014-18,818.0
Hopedale,2014-18,1196.0
Hopkinton,2014-18,1740.0
Hubbardston,2014-18,1267.0
Hudson,2014-18,1248.0
Hull,2014-18,1308.0
Huntington,2014-18,947.0
Ipswich,2014-18,1084.0
Kingston,2014-18,1277.0
Lakeville,2014-18,1352.0
Lancaster,2014-18,878.0
Lanesborough,2014-18,966.0
Lawrence,2014-18,1111.0
Lee,2014-18,874.0
Leicester,2014-18,969.0
Lenox,2014-18,912.0
Leominster,2014-18,935.0
Leverett,2014-18,1174.0
Lexington,2014-18,2240.0
Leyden,2014-18,1571.0
Lincoln,2014-18,2285.0
Littleton,2014-18,1354.0
Longmeadow,2014-18,1367.0
Lowell,2014-18,1111.0
Ludlow,2014-18,999.0
Lunenburg,2014-18,1531.0
Lynn,2014-18,1130.0
Lynnfield,2014-18,2079.0
Malden,2014-18,1518.0
Manchester,2014-18,1183.0
Mansfield,2014-18,1208.0
Marblehead,2014-18,1507.0
Marion,2014-18,1182.0
Marlborough,2014-18,1435.0
Marshfield,2014-18,1360.0
Mashpee,2014-18,1382.0
Mattapoisett,2014-18,1129.0
Maynard,2014-18,1157.0
Medfield,2014-18,1291.0
Medford,2014-18,1666.0
Medway,2014-18,1060.0
Melrose,2014-18,1362.0
Mendon,2014-18,1487.0
Merrimac,2014-18,1094.0
Methuen,2014-18,1202.0
Middleborough,2014-18,1189.0
Middlefield,2014-18,0.0
Middleton,2014-18,1573.0
Milford,2014-18,1192.0
Millbury,2014-18,1104.0
Millis,2014-18,1659.0
Millville,2014-18,1166.0
Milton,2014-18,1459.0
Monroe,2014-18,913.0
Monson,2014-18,884.0
Montague,2014-18,858.0
Monterey,2014-18,1111.0
Montgomery,2014-18,0.0
Mount Washington,2014-18,0.0
Nahant,2014-18,1367.0
Nantucket,2014-18,1765.0
Natick,2014-18,1510.0
Needham,2014-18,1473.0
New Ashford,2014-18,1550.0
New Bedford,2014-18,819.0
New Braintree,2014-18,925.0
New Marlborough,2014-18,1192.0
New Salem,2014-18,1061.0
Newbury,2014-18,1250.0
Newburyport,2014-18,1274.0
Newton,2014-18,1829.0
Norfolk,2014-18,1309.0
North Adams,2014-18,736.0
North Andover,2014-18,1499.0
North Attleborough,2014-18,1047.0
North Brookfield,2014-18,842.0
North Reading,2014-18,1451.0
Northampton,2014-18,1098.0
Northborough,2014-18,1399.0
Northbridge,2014-18,962.0
Northfield,2014-18,827.0
Norton,2014-18,1112.0
Norwell,2014-18,446.0
Norwood,2014-18,1530.0
Oak Bluffs,2014-18,1530.0
Oakham,2014-18,1225.0
Orange,2014-18,806.0
Orleans,2014-18,890.0
Otis,2014-18,694.0
Oxford,2014-18,889.0
Palmer,2014-18,907.0
Paxton,2014-18,973.0
Peabody,2014-18,1314.0
Pelham,2014-18,1489.0
Pembroke,2014-18,1653.0
Pepperell,2014-18,1115.0
Peru,2014-18,0.0
Petersham,2014-18,885.0
Phillipston,2014-18,1239.0
Pittsfield,2014-18,852.0
Plainfield,2014-18,850.0
Plainville,2014-18,1361.0
Plymouth,2014-18,1376.0
Plympton,2014-18,1281.0
Princeton,2014-18,1125.0
Provincetown,2014-18,1307.0
Quincy,2014-18,1447.0
Randolph,2014-18,1331.0
Raynham,2014-18,1380.0
Reading,2014-18,1265.0
Rehoboth,2014-18,1214.0
Revere,2014-18,1351.0
Richmond,2014-18,1362.0
Rochester,2014-18,1007.0
Rockland,2014-18,1216.0
Rockport,2014-18,1286.0
Rowe,2014-18,1250.0
Rowley,2014-18,1261.0
Royalston,2014-18,917.0
Russell,2014-18,1075.0
Rutland,2014-18,959.0
Salem,2014-18,1237.0
Salisbury,2014-18,1344.0
Sandisfield,2014-18,725.0
Sandwich,2014-18,1294.0
Saugus,2014-18,937.0
Savoy,2014-18,729.0
Scituate,2014-18,1158.0
Seekonk,2014-18,1093.0
Sharon,2014-18,1563.0
Sheffield,2014-18,1076.0
Shelburne,2014-18,845.0
Sherborn,2014-18,1447.0
Shirley,2014-18,944.0
Shrewsbury,2014-18,1340.0
Shutesbury,2014-18,1408.0
Somerset,2014-18,1064.0
Somerville,2014-18,1763.0
South Hadley,2014-18,960.0
Southampton,2014-18,1010.0
Southborough,2014-18,1102.0
Southbridge,2014-18,901.0
Southwick,2014-18,972.0
Spencer,2014-18,879.0
Springfield,2014-18,847.0
Sterling,2014-18,1314.0
Stockbridge,2014-18,826.0
Stoneham,2014-18,1477.0
Stoughton,2014-18,1399.0
Stow,2014-18,1453.0
Sturbridge,2014-18,1178.0
Sudbury,2014-18,1005.0
Sunderland,2014-18,1389.0
Sutton,2014-18,841.0
Swampscott,2014-18,1742.0
Swansea,2014-18,937.0
Taunton,2014-18,988.0
Templeton,2014-18,1000.0
Tewksbury,2014-18,1709.0
Tisbury,2014-18,1399.0
Tolland,2014-18,1321.0
Topsfield,2014-18,0.0
Townsend,2014-18,894.0
Truro,2014-18,1040.0
Tyngsborough,2014-18,1086.0
Tyringham,2014-18,900.0
Upton,2014-18,849.0
Uxbridge,2014-18,1194.0
Wakefield,2014-18,1360.0
Wales,2014-18,836.0
Walpole,2014-18,1453.0
Waltham,2014-18,1584.0
Ware,2014-18,948.0
Wareham,2014-18,1142.0
Warren,2014-18,767.0
Warwick,2014-18,1089.0
Washington,2014-18,0.0
Watertown,2014-18,1791.0
Wayland,2014-18,1270.0
Webster,2014-18,891.0
Wellesley,2014-18,1796.0
Wellfleet,2014-18,1174.0
Wendell,2014-18,928.0
Wenham,2014-18,0.0
West Boylston,2014-18,945.0
West Bridgewater,2014-18,1391.0
West Brookfield,2014-18,1275.0
West Newbury,2014-18,2013.0
West Springfield,2014-18,868.0
West Stockbridge,2014-18,1587.0
West Tisbury,2014-18,1158.0
Westborough,2014-18,1625.0
Westfield,2014-18,961.0
Westford,2014-18,1781.0
Westhampton,2014-18,1131.0
Westminster,2014-18,1132.0
Weston,2014-18,1729.0
Westport,2014-18,1088.0
Westwood,2014-18,1662.0
Weymouth,2014-18,1429.0
Whately,2014-18,1444.0
Whitman,2014-18,1227.0
Wilbraham,2014-18,768.0
Williamsburg,2014-18,1064.0
Williamstown,2014-18,958.0
Wilmington,2014-18,1915.0
Winchendon,2014-18,710.0
Winchester,2014-18,1813.0
Windsor,2014-18,0.0
Winthrop,2014-18,1330.0
Woburn,2014-18,1518.0
Worcester,2014-18,1064.0
Worthington,2014-18,758.0
Wrentham,2014-18,1094.0
Yarmouth,2014-18,1342.0
Massachusetts,2014-18,1225.0
Barnstable County,2014-18,1268.0
Berkshire County,2014-18,836.0
Bristol County,2014-18,872.0
Dukes County,2014-18,1557.0
Essex County,2014-18,1189.0
Franklin County,2014-18,926.0
Hampden County,2014-18,885.0
Hampshire County,2014-18,1083.0
Middlesex County,2014-18,1541.0
Nantucket County,2014-18,1765.0
Norfolk County,2014-18,1520.0
Plymouth County,2014-18,1227.0
Suffolk County,2014-18,1506.0
Worcester County,2014-18,1027.0
Abington,2010-14,1082.0
Acton,2010-14,1193.0
Acushnet,2010-14,780.0
Adams,2010-14,669.0
Agawam,2010-14,885.0
Alford,2010-14,1354.0
Amesbury,2010-14,1015.0
Amherst,2010-14,1117.0
Andover,2010-14,1252.0
Arlington,2010-14,1419.0
Ashburnham,2010-14,978.0
Ashby,2010-14,1279.0
Ashfield,2010-14,900.0
Ashland,2010-14,1145.0
Athol,2010-14,705.0
Attleboro,2010-14,971.0
Auburn,2010-14,956.0
Avon,2010-14,1071.0
Ayer,2010-14,919.0
Barnstable,2010-14,1106.0
Barre,2010-14,967.0
Becket,2010-14,1273.0
Bedford,2010-14,1764.0
