FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
155,Paine Street,5275400,0,2,0,2021,CFBL,62.3825092679,62.3825092696664
156,Washington Street,4754200,3,2,0,2016,SLM,134.938174671,134.938174673663
157,Washington Street,4748800,3,2,0,2016,SLM,62.6802093166,62.6802093154104
158,Cummins Highway,5278800,3,2,1, ,BFBL,137.440605517,137.440605516564
159,Washington Street,5716400,3,2,0,2016,SLM,113.469792314,113.469792308696
160,Washington Street,5135300,3,2,0,2016,SLM,121.93960629,121.939606294543
161,Glen Lane,5390900,6,2,0, ,SUP,181.44543678,181.445436773221
162,Washington Street,4732900,3,2,0,2016,SLM,78.066757751,78.0667577448676
163,Dimock Street,4657500,0,2,0,2021,BFBL,99.3492122225,99.3492122239743
164,Boylston Street,5667600,2,2,0,2022,SBL,62.4412009884,62.4412009893753
165,Boylston Street,5667700,2,2,0,2022,SBL,167.604297477,167.604297470933
166,Maitland Street,5517500,0,2,0, ,SLM,80.3486386259,80.3486386265701
167,Brookline Avenue,5575700,3,2,0,2019,BLSL,70.0006721845,70.0006721925595
168,Crossman Street,5802400,0,2,0,2022,SLMTC,147.639830106,147.639830110562
169,West Selden Street,5146600,0,2,0,2022,SLMTC,202.242860489,202.242860497184
170,Morton Street,5716600,2,1,1,2020,BL,51.509326703,51.509326703017
171,Morton Street,6225900,5,2,1,2020,BL,43.0598930986,43.0598930985953
172,Ballou Avenue,4915900,0,2,0,2015,SLM,352.959251579,352.959251577782
173,Talbot Avenue,4818400,5,2,0,2010,BL,52.759735089,52.7597350889536
174,Blue Hill Avenue,5139100,3,2,1,2012,SLM,65.5297310917,65.5297310939669
175,Blue Hill Avenue,6246100,3,2,1,2010,SLM,112.273148911,112.273148906992
176,Seaver Street,6285200,3,2,1,2016,SLM,50.0503316182,50.0503316177226
177,Columbia Road,5402300,5,2,1,2010,BL,55.7148552521,55.7148552499461
178,Columbia Road,5402400,5,2,1,2010,BL,64.334475004,64.3344750118026
179,Columbia Road,6285500,5,2,1,2010,BL,70.4032086815,70.4032086732821
180,Warren Street,4691500,5,2,0,2010,SLM,68.5919582773,68.5919582751812
181,Walnut Avenue,4644900,6,2,0,2011,BLSL,27.0986676024,27.0986676057096
182,Warren Street,5602200,5,2,1,2011,BL,91.2873171621,91.2873171648693
183,Warren Street,5602500,5,2,1,2011,BL,105.140929863,105.140929868372
184,Warren Street,6286601,5,2,1,2011,BL,60.9634544007,60.9634544055595
185,Warren Street,6286600,5,2,1,2011,BL,146.620912896,146.620912893823
186,Warren Street,5601600,5,2,1,2011,BL,67.5163160345,67.5163160381149
187,Warren Street,5474400,5,2,0,2011,SLM,43.9549084886,43.9549084922882
188,Warren Street,5602700,5,2,1,2011,SLM,79.8477116912,79.8477116886913
189,Warren Street,5602601,5,2,1,2011,SLM,38.1972298987,38.1972299033677
190,Washington Street,5773600,3,2,0,2011,SLM,44.7137827744,44.713782774366
191,Massachusetts Avenue,6284900,3,2,1,2011,BL,187.265551557,187.265551556068
192,Washington Street,4569400,3,2,0,2011,SLM,70.6264498405,70.6264498484965
193,Commonwealth Avenue,4498100,3,2,1,2010,BL,171.710358021,171.710358029305
194,Huntington Avenue,5595700,3,2,1,2014,SLM,86.1522872583,86.1522872583105
195,Dartmouth Street,5268800,5,2,0,2011,BL,44.7116704505,44.7116704557329
196,Beacon Street,4468600,3,2,0,2018,SBL,188.478380319,188.478380317905
197,Cambridge Street,5757900,3,2,0,2011,BL,225.739779321,225.739779319521
198,Cambridge Street,5619300,3,2,0,2020,BL,43.5692706794,43.5692706803157
199,Alford Street,6207700,3,2,1,2020,SBL,141.135096053,141.135096051625
200,Norfolk Street,4869500,5,2,0,2017,BL,33.4473978311,33.447397831972
201,Columbia Road,6284000,5,2,1,2010,BL,71.5221433819,71.5221433769767
202,Geneva Avenue,4755800,5,2,0,2016,SLM,51.567543902,51.5675438942445
203,Columbia Road,5217900,5,2,1,2010,BL,69.5237405996,69.5237405943359
204,Massachusetts Avenue,6245500,3,2,1,2011,BL,129.007672144,129.007672141517
205,Massachusetts Avenue,46806400,3,2,1,2011,BL,60.2408546688,60.240854676531
206,Columbus Avenue,4534900,3,2,0,2009,BL,78.0631197337,78.0631197285835
207,Dartmouth Street,4531200,5,2,0,2011,SLM,87.9287050385,87.9287050356043
208,Dorchester Avenue,5398400,3,2,0,2010,SLM,79.4470043233,79.4470043154941
209,West Dedham Street,5670900,5,2,0,2011,BLSL,32.0102517907,32.010251779633
